DrugBank ID	SMILES
DB07903	CC(C)(C)C(=O)NC1=C(N=CC=C1)C(=O)NC1=NC=CS1
DB08350	COC1=CC=CC=C1C1=CNC2=C1C=C(C=N2)C1=CC(=CN=C1)C(=O)N(C)C
DB07794	NC1=NNC2=C1C=C(N=N2)C1=C2C=CC=CN2N=C1C1=CC=CC=C1
DB01153	ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=CSC2=C1C=CC=C2Cl
DB00898	CCO
DB01424	CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
DB00476	CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
DB03147	CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
DB07835	CC1=CC=C(C=C1C1=CC=C(C=C1)C(=O)NCC1CC1)C(=O)NC1CC1
DB04760	CC1=C(F)C=CC(CNC(=O)C2=CC(=NC=N2)C(=O)NCC2=CC(C)=C(F)C=C2)=C1
DB01083	CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
DB01175	CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DB00695	NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O
DB07712	CCC1=C2C=C(O)C=CC2=NN1C1=CC=C(O)C=C1
DB01202	CC[C@H](N1CCCC1=O)C(N)=O
DB00421	[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@]([H])(CC2=CC(=O)CC[C@]12C)SC(C)=O
DB00552	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O
DB00188	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
DB02758	OC(=O)CCC1=CNC2=CC=CC=C12
DB00115	[C@H]1([C@@H]2[C@H]([C@@H](N3C4=CC(=C(C)C=C4[N+]([Co-3]456(N7C8=C(C9=[N+]4C(C([C@@H]9CCC(N)=O)(C)C)=CC4=[N+]5C(=C(C5=[N+]6[C@@]([C@]7([C@@H]([C@@]8(C)CCC(=O)NC[C@@]([H])(C)OP([O-])(=O)O2)CC(N)=O)[H])([C@@]([C@@H]5CCC(N)=O)(C)CC(N)=O)C)C)[C@@]([C@@H]4CCC(N)=O)(C)CC(N)=O)C)C#N)=C3)C)O1)O)CO
DB08893	NC1=NC(CC(=O)NC2=CC=C(CCNC[C@H](O)C3=CC=CC=C3)C=C2)=CS1
DB01595	[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1
DB00198	CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB07313	CC1=CC=C(NS(=O)(=O)C2=CC=CC=C2)C(=C1)C(O)=O
DB02624	N[C@@H]1CCOC1=O
DB04930	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1
DB02189	NC1=NC=NC2=C1N=CN2[C@H]1CC[C@@H](CO[P@@](O)(=O)O[P@](O)(=O)OP(O)(O)=O)O1
DB00266	OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2
DB00961	CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C
DB07111	[H][C@](O)(CCC(O)=O)\C=C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC
DB03277	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
DB01120	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN1CC2CCCC2C1
DB05116	COC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(\C=C\Br)C(=O)NC1=O)OC1=CC=CC=C1
DB02285	CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O
DB01010	CC[N+](C)(C)C1=CC(O)=CC=C1
DB00754	CCN1C(=O)NC(C1=O)C1=CC=CC=C1
DB01632	O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
DB05501	NCCCCN(CC1=NC2=CC=CC=C2N1)[C@H]1CCCC2=C1N=CC=C2
DB07589	[H][C@@](CS(=O)(=O)CC1=CC=CC=C1)(N[C@@]([H])(C1=CC=C(O)C=C1)C(F)(F)F)C(=O)NC1(CN)CC1
DB00770	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
DB00675	CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
DB02087	NS(=O)(=O)C1=CC(F)=CC(F)=C1
DB08258	OC(=O)CCCCCNC(=O)NC1CCCCC1
DB00125	N[C@@H](CCCNC(N)=N)C(O)=O
DB07919	COC1=CC=C2C(NC3=C2C=CN=C3C)=C1
DB01183	OC1=CC=C2C[C@H]3N(CC=C)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O
DB08178	COC1=C2C(NC=C2C2=NC(N)=NC=C2)=NC=C1
DB08289	OC(=O)CCCC(=O)NC1=CC=C(CC[N+]2([O-])CCCCC2)C=C1
DB00210	COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB01039	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1
DB00721	CCN(CC)CCOC(=O)C1=CC=C(N)C=C1
DB07975	OC(=O)C1=C(CCC1)C(=O)NC1=C(F)C=C(C=C1F)C1=CC=CC(OC(F)(F)F)=C1
DB01045	CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C
DB00130	N[C@@H](CCC(N)=O)C(O)=O
DB09018	CCN(CC)CCN=C(O)C1=C(OC)C=C(N)C(Br)=C1
DB00392	CCN(CC)C(C)CN1C2=CC=CC=C2SC2=CC=CC=C12
DB00570	[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC
DB03233	[H][C@]1(N)C[C@@]([H])(O[C@]1([H])COP(O)(O)=O)N1C=C(C)C(O)=NC1=O
DB00186	OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB04556	[H][C@@](C)(N(C)C)C1=CC(O)=CC=C1
DB04410	NCCCC1=CC=CC=C1
DB00419	CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
DB04246	NC(=N)C1=CC2=C(C=C1)N=C(N2)C1=CC(CC[NH3+])=CC(=C1O)C1=CC=CC=C1
DB04601	NS(=O)(=O)OC1=CC=C(CN(N2C=NN=C2)C2=CC=C(C=C2)C#N)C=C1
DB07792	[H][C@@]1(CC2=C(C=CC=C2)N(CC(=O)NCCO)C1=O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2
DB08044	[H][C@]1(N)CC(=CC[C@]1([H])C1=CC(F)=C(F)C=C1F)C(=O)N1CCN2C(C1)=NN=C2C(F)(F)F
DB04395	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)O[P@@](O)(=O)NP(O)(O)=O)[C@H](O)[C@H]1O
DB02545	COC(=O)\C=C\C1=CC(=CC=C1)N(CC1=CC=C(C=C1)C1=CC=C(C=C1)N(C)C)C(=O)C1CCCCC1
DB04531	N[C@@H](CSCC1=CC=CC=C1)C(O)=O
DB02067	[H][C@@](CCC(O)=N[C@@]([H])(CCC(O)=N[C@@]([H])(CCC(O)=O)C(O)=O)C(O)=O)(NC(=O)C1=CC=C(NC[C@@]2([H])CNC3=C(N2C=O)C(O)=NC(=N)N3)C=C1)C(O)=O
DB03401	O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
DB00622	COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1
DB00157	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
DB06742	NC1=C(Br)C=C(Br)C=C1CN[C@H]1CC[C@H](O)CC1
DB02888	COC1=CC(=CC(OC)=C1OC)C(F)(F)C(=O)N1CCCC[C@H]1C(=O)O[C@@H](CCCC1=CC=CC=C1)CCCC1=CN=CC=C1
DB02328	[H]\C(CP(O)(O)=O)=C(\[H])/C(=N\CC1=C(COP(O)(O)=O)C=NC(C)=C1O)/C(O)=O
DB01851	CCCC[N+](CCCC)(CCCC)CCCC
DB08235	CC1=C(CCNC(=O)C2=CC=CS2)C2=CC=CC=C2N1
DB07707	[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CCC4=CC(O)=CC=C4[C@@]3([H])[C@@]([H])(COC)C[C@]12C
DB05630	O.O.O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[H][C@@]1(O[Sb]2(O)(O[Sb]34([O-])O[C@@H](C([O-])=O)[C@@]([H])(O3)[C@]([H])(O4)[C@H](O)CO)O[C@@H](C([O-])=O)[C@@]1([H])O2)[C@H](O)CO
DB03128	CC(=O)OCC[N+](C)(C)C
DB03083	COC1=CC(OC)=C(\C=C2\C(=O)NC3=CC=CC=C23)C(OC)=C1
DB02919	COC1=CC(CN(C)C2=CN=C3N=C(N)N=C(N)C3=C2)=CC(OC)=C1OC
DB08202	CN1CCN(CC1)NC(=S)NC1=CC=C(C=C1)S(N)(=O)=O
DB01166	O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2
DB07204	[H][C@@](N)(COC1=C2C=CC(=NC2=CN=C1)C1=CC=NC=C1)CC1=CNC2=C1C=CC=C2
DB00190	C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
DB00466	[H][C@@]12OC(=O)[C@@]34OC3C[C@@](O)(C3[C@@H](C1OC3=O)C(C)=C)[C@@]24C.[H][C@@]12C[C@@]3(O)C4[C@@H](C(OC4=O)[C@@]4([H])OC(=O)[C@]1(O2)[C@@]34C)C(C)(C)O
DB01118	CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2
DB02468	CC1C(C=C)C2=CC3=C(C)C(CCC(O)=O)=C4C=C5N6C(=CC7=C(C)C(C=C)=C8N7[Fe++]6(N34)N2C1=C8C1=CC=CC=C1)C(C)=C5CCC(O)=O
DB08056	CC1=CC=CC(C)=C1NC1=NC=C(N2C=NC=C12)C1=CC=CC=C1
DB00254	[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
DB00200	[N+]1=2[Co-3]345([N+]6=C7[C@H]([C@@](CC(=O)N)(C)[C@@]6([C@@]6(N3C(=C(C)C3=[N+]4C(C(C)(C)[C@@H]3CCC(=O)N)=CC3=[N+]5C(=C7C)[C@@](CC(=O)N)([C@@H]3CCC(=O)N)C)[C@@](C)([C@H]6CC(=O)N)CCC(NC[C@@H](C)OP(=O)(O[C@@H]3[C@H](O[C@H](N(C4=CC(=C(C=C14)C)C)C=2)[C@@H]3O)CO)[O-])=O)[H])C)CCC(=O)N)O[H]
DB00313	CCCC(CCC)C(O)=O
DB05289	C[C@@H](C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1
DB01238	ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl
DB00753	FC(F)OC(Cl)C(F)(F)F
DB01420	[H][C@@]12CC[C@H](OC(=O)CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
DB02320	[H][C@]1(CO)O[C@@]([H])(N=C(C)O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O
DB00470	[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1
DB07447	[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C
DB04366	[H][C@]1(COP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])N
DB07527	[H][C@](N)(CC1=CC=CC=C1)[C@]([H])(O)CNS(=O)(=O)C1=C(C)C=C(OC)C(C)=C1C
DB04757	NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](O[C@@H]12)P(O)(O)=O
DB00169	CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB07872	[H][C@]1(CCN(CC(=O)NC2=C(F)C=C(C=C2)N2C=CC=CC2=O)C1)NC(=O)C1=CC=C(Cl)S1
DB02490	CN(CC(O)=O)C(N)N
DB03959	[H][C@]1(O)O[C@]([H])(COS(O)(=O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])NS(O)(=O)=O
DB08030	ONC(=O)CCOC1=CC=C(C=C1)C1=CC=C(C=C1)C#N
DB04263	[H][C@](C)(O)[C@@]1([H])O[C@]([H])(O[C@]2([H])[C@@]([H])(N)C[C@@]([H])(N)[C@]([H])(O[C@@]3([H])OC[C@](C)(O)[C@]([H])(NC)[C@@]3([H])O)[C@@]2([H])O)[C@]([H])(N)[C@@]([H])(O)[C@]1([H])O
DB04859	O=C(CCC1CCN(CC2=CC=CC=C2)CC1)C1=CC2=C(CCCCN2)C=C1
DB07708	OC1=CC=C(C=C1)N1N=C2C=CC(O)=CC2=C1Cl
DB07150	O\N=C\C1=C2C=CC=CC2=C(C=C1)C1=CC=C(O)C=C1
DB03781	[H][C@](C)(OC1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1)C(O)=O
DB04689	CCCC1=C(OCCCOC2=CC3=C(C=C2)N(CC(O)=O)C=C3)C=CC2=C1C=CC(=C2)C(=O)C1=CC=CC=C1
DB01588	ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1
DB03546	[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)[C@@]([H])(CCCC1([H])C(O)=N[C@]([H])(N)N[C@]1([H])N)C(O)(O)C(F)(F)F)C(O)=O
DB07112	OC(=O)CNC(=O)C1=C(O)C2=CC=CC(I)=C2C=N1
DB00237	CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB04522	N[C@@H](COP(O)(O)=O)C(O)=O
DB08771	[H][C@@]1(SC(NC2=C(F)C=CC=C2)=NC1=O)C(C)C
DB03314	N[C@@H](CC1=CNC2=C1C=C(F)C=C2)C(O)=O
DB04843	C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
DB00472	CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
DB04473	C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O
DB00435	[N]=O
DB07174	CCC1=C(C(N)=NC(N)=N1)C1=CC=C2OC(C)(C)C(=O)N(CCCOC)C2=C1
DB01418	CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O
DB02504	CC1=C(CC(N)=O)C2=C(C=CC(OCCCP(O)(O)=O)=C2)N1CC1=CC=CC=C1
DB01174	CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1
DB06986	[H][C@]1(CC2=C(C=CC=C2)[C@@]1([H])O)NC(=O)C1=CC2=C(N1)SC(Cl)=C2
DB03012	[H][C@@](CC1=CC=CC=C1)(NS(N)(=O)=O)C(O)=O
DB04752	[H]\C(CCCCCC)=C(/[H])CCCCCCCC(=O)O[C@@]([H])(COC(=O)CCCCCCC\C([H])=C(\[H])CCCCCCCC)COP(O)(=O)OCCO
DB04315	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
DB00360	[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O
DB02616	NC(N)=NC1=NC(=CS1)C1=CC=C(CNC2=NC3=C(N2)C=CC=C3)S1
DB03179	[H]\C(=C(\[H])C1=CC(OC)=C(O)C(OC)=C1)C(=O)SCCN=C(O)CCN=C(O)C1(O)[C@]([H])(OP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@@]([H])(O)[C@]2([H])OP(O)(O)=O)C1(C)C
DB00623	OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
DB02999	N[C@@H](CN1OC(=O)NC1=O)C(O)=O
DB01665	NC1N=C2C=CC=CC2=N1
DB00171	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
DB08497	[H][C@@](OC(C)=O)(C(=O)NC1=CC=CC2=C1C(=O)C(=O)NC2=O)C1=CC=CC=C1
DB03220	[H][C@@](C)(O)[C@@]([H])(CCC1=CC=CC2=C1C=CC=C2)N1C=NC(=C1)C(N)=O
DB05297	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@@H](C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@@]3([H])[C@@](C)([C@@H](O)C[C@@]4([H])OC[C@@]34OC(=O)C)C(=O)[C@H](OC(=O)C)C(=C1C)C2(C)C)[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1
DB08070	CC1=NNC=C1C1=CC=C(CCN)C=C1
DB00159	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O
DB06845	[H][C@]1(CCCN1C(=O)CNC1CCCC1)C(=O)NCC1=CC=C(C=C1)C(N)=N
DB07486	NC1=CC=CC(SC2=CC=C(\C=C\C(=O)N3CCOCC3)C(=C2C(F)(F)F)C(F)(F)F)=C1
DB08464	COC(=O)C1=C(CCC(=O)NC2=C(O)C=C(OC)C(O)=C2)C(Cl)=C(O)C=C1O
DB06148	CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21
DB00976	[H][C@@]12[C@@H](C)C(=O)[C@H](C)C[C@@](C)(OC)[C@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@H](CC)[C@@]1(C)OC(=O)N2CCCCN1C=NC(=C1)C1=CC=CN=C1
DB02697	CC(C)[C@@H](N)C(=O)NO
DB03088	OC(=O)[C@@H]1CCC(=O)N1
DB01373	[Ca]
DB01649	CN1C=[N+]([C@@H]2O[C@H](CO[P@](O)(=O)O[P@](O)(=O)O[P@](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)N3C=NC4=C(N)N=CN=C34)[C@@H](O)[C@H]2O)C2=C1C(=O)N=C(N)N2
DB00836	CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DB05475	N[C@H](CCC(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O)C(O)=O
DB02261	CCCCCCCCCCCCCCCCOC[C@H](CO[P@@]([O-])(=O)OCC[N+](C)(C)C)OC(C)=O
DB08338	O=C1CCCCC2=C3N=C(NC4=CC(N1)=CC=C4)N=C(NC1CC1)N3N=C2
DB04685	[H][C@]1(F)C[C@@]([H])(O[C@]1([H])COC(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)N1C=CC(=O)NC1=O
DB00490	O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
DB08778	CC(C)(C)NC1=NC(N)=C(S1)C(=O)C1=CC=CC=C1
